identifier,category,subcategory,notes,hide_in_spends
13-32,Development,Smart Contracts,,0
33-1193,Outreach,Advertising,,0
33-1394,Outreach,Advertising,,0
33-1480,Outreach,Advertising,,0
17-111,Talent & Education,PBA,,0
17-128,Talent & Education,PBA,,0
17-165,Talent & Education,Trainings & Hackathon,,0
17-172,Talent & Education,PBA,,0
17-190,Talent & Education,PBA,,0
13-206,Development,Smart Contracts,,0
17-231,Talent & Education,PBA,,0
17-260,Talent & Education,PBA,,0
17-273,Talent & Education,PBA,,0
33-705,Outreach,Advertising/Digital Ads,,0
33-841,Outreach,Advertising/Digital Ads,,0
33-852,Outreach,Advertising/Digital Ads,,0
33-2835,Outreach,Advertising/Digital Ads,,0
33-2844,Outreach,Advertising/Digital Ads,,0
33-2850,Outreach,Advertising/Digital Ads,,0
33-3066,Outreach,Advertising/Digital Ads,,0
33-3357,Outreach,Advertising/Digital Ads,,0
33-3701,Outreach,Advertising/Digital Ads,,0
33-3908,Outreach,Advertising/Digital Ads,,0
33-654,Outreach,Advertising/Influencers,,0
33-708,Outreach,Advertising/Influencers,,0
33-781,Outreach,Advertising/Influencers,,0
33-782,Outreach,Advertising/Influencers,,0
33-853,Outreach,Advertising/Influencers,,0
33-854,Outreach,Advertising/Influencers,,0
33-895,Outreach,Advertising/Influencers,,0
33-982,Outreach,Advertising/Influencers,,0
33-984,Outreach,Advertising/Influencers,,0
33-985,Outreach,Advertising/Influencers,,0
33-995,Outreach,Advertising/Influencers,,0
33-1144,Outreach,Advertising/Influencers,,0
33-1145,Outreach,Advertising/Influencers,,0
33-1146,Outreach,Advertising/Influencers,,0
33-1147,Outreach,Advertising/Influencers,,0
33-1191,Outreach,Advertising/Influencers,,0
33-1420,Outreach,Advertising/Influencers,,0
33-1421,Outreach,Advertising/Influencers,,0
33-1481,Outreach,Advertising/Influencers,,0
33-1543,Outreach,Advertising/Influencers,,0
33-1545,Outreach,Advertising/Influencers,,0
33-1546,Outreach,Advertising/Influencers,,0
46-1547,,Advertising/Influencers,,0
17-336,Talent & Education,PBA,,0
33-1663,Outreach,Advertising/Influencers,,0
33-1692,Outreach,Advertising/Influencers,,0
33-1772,Outreach,Advertising/Influencers,,0
33-1773,Outreach,Advertising/Influencers,,0
33-2669,Outreach,Advertising/Influencers,,0
33-2671,Outreach,Advertising/Influencers,,0
33-2834,Outreach,Advertising/Influencers,,0
33-2841,Outreach,Advertising/Influencers,,0
33-2842,Outreach,Advertising/Influencers,,0
33-2848,Outreach,Advertising/Influencers,,0
17-348,Talent & Education,PBA,,0
33-2851,Outreach,Advertising/Influencers,,0
33-2853,Outreach,Advertising/Influencers,,0
17-380,Talent & Education,Trainings & Hackathon,,0
33-3063,Outreach,Advertising/Influencers,,0
33-3139,Outreach,Advertising/Influencers,,0
33-3200,Outreach,Advertising/Influencers,,0
33-3201,Outreach,Advertising/Influencers,,0
33-3202,Outreach,Advertising/Influencers,,0
33-3369,Outreach,Advertising/Influencers,,0
33-3585,Outreach,Advertising/Influencers,,0
33-3650,Outreach,Advertising/Influencers,,0
33-3675,Outreach,Advertising/Influencers,,0
33-3698,Outreach,Advertising/Influencers,,0
33-3700,Outreach,Advertising/Influencers,,0
33-3957,Outreach,Advertising/Influencers,,0
17-441,Talent & Education,Trainings & Hackathon,,0
33-3963,Outreach,Advertising/Influencers,,0
33-4089,Outreach,Advertising/Influencers,,0
33-4111,Outreach,Advertising/Influencers,,0
33-7,Outreach,Advertising/Influencers,,0
33-9,Outreach,Advertising/Influencers,,0
33-34,Outreach,Advertising/Influencers,,0
33-69,Outreach,Advertising/Influencers,,0
33-93,Outreach,Advertising/Influencers,,0
33-103,Outreach,Advertising/Influencers,,0
33-158,Outreach,Advertising/Influencers,,0
33-726,Outreach,Advertising/Physical Ads,,0
33-851,Outreach,Advertising/Physical Ads,,0
33-2852,Outreach,Advertising/Platform Integrations,,0
33-2874,Outreach,Advertising/Platform Integrations,,0
33-3679,Outreach,Advertising/Platform Integrations,,0
33-3811,Outreach,Advertising/Platform Integrations,,0
33-3911,Outreach,Advertising/Platform Integrations,,0
33-25,Outreach,Advertising/Platform Integrations,,0
17-1005,Outreach,Events/Conference Attendance & Side Events,,0
17-846,Talent & Education,PBA,,0
32-909,Operations,RPCs and Nodes,unclaimed as of 2025-01-17,0
17-1087,Talent & Education,Trainings & Hackathon,,0
17-1006,Outreach,Events/Conference Attendance & Side Events,,0
17-1747,Outreach,Events/Conference Attendance & Side Events,,0
33-2833,Outreach,Content Creation & Distribution,,0
