Message Hash,From Account,To Account,Block,Origin Event Index,Dest Event Index,Time,From Chain ID,Destination Chain ID,Value,Protocol,Status
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19731210,4601212-9,5782714-7,2024-03-03T00:19:54Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19733411,4602310-9,5783719-6,2024-03-03T04:02:12Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19735610,4603409-9,5784743-6,2024-03-03T07:43:18Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19737811,4604506-9,5785762-5,2024-03-03T11:25:00Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19740010,4605601-9,5786779-5,2024-03-03T15:06:30Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19742211,4606698-9,5787809-5,2024-03-03T18:49:06Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19744411,4607795-9,5788819-6,2024-03-03T22:30:36Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19746610,4608891-9,5789821-6,2024-03-04T02:12:06Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19748810,4609988-9,5790837-6,2024-03-04T05:54:12Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19751011,4611086-9,5791867-6,2024-03-04T09:37:24Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19753210,4612183-9,5792888-6,2024-03-04T13:19:30Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19755410,4613279-15,5793896-6,2024-03-04T17:02:06Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19757610,4614374-10,5794907-5,2024-03-04T20:44:54Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19759811,4615472-9,5795914-6,2024-03-05T00:27:00Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19762011,4616570-9,5796914-6,2024-03-05T04:09:18Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19764210,4617667-15,5797928-6,2024-03-05T07:51:30Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19766410,4618764-27,5798939-5,2024-03-05T11:34:06Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19768611,4619863-9,5799965-6,2024-03-05T15:17:42Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
0x4282e197a2f11eb9266c48c471fa6e0a0e5c1678d7b4dc93373529642885046a,141gr5xsEbUwh3wyeANrTqWTEg92KcEzXxiNofVRvW66Dprt,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,19770810,4620960-9,5800975-6,2024-03-05T19:00:06Z,polkadot 2034,polkadot 1000,"5000 USDC,5000 USDT",HRMP,success
