id,category,subcategory,notes,hide_in_spends
1,Development,,,0
4,Outreach,Content Creation & Distribution,,0
5,Business Development,Protocol Subsidies,,0
6,Development,Multisig,,0
7,Operations,Other,,0
8,Development,Wallets,,0
13,Development,Governance,,0
14,Talent & Education,Trainings & Hackathon,,0
15,Operations,Data Services & Indexing,,0
20,Operations,Explorers,,0
21,Development,Wallets,,0
22,Business Development,Protocol Subsidies,,0
24,Development,Smart Contracts,,0
25,Operations,Governance,,0
26,Operations,Governance,,0
27,Operations,Governance,,0
28,Operations,Governance,,0
31,Operations,Governance,,0
32,Talent & Education,Trainings & Hackathon,,0
35,Outreach,Content Creation & Distribution,,0
36,Talent & Education,Trainings & Hackathon,,0
37,Outreach,Content Creation & Distribution,,0
43,Talent & Education,Trainings & Hackathon,,0
44,Operations,Governance,,0
45,Operations,RPCs and Nodes,,0
48,Operations,Governance,,0
49,Operations,Governance,,0
54,Outreach,Content Creation & Distribution,,0
57,Talent & Education,Education,,0
62,Development,Wallets,,0
68,Development,Software Development,,0
72,Development,Software Development,,0
73,Operations,Governance,,0
77,Development,Light Clients,,0
79,Development,Polkadot Protocol & SDK,,0
82,Operations,RPCs and Nodes,,0
83,Development,Polkadot Protocol & SDK,,0
85,Outreach,Content Creation & Distribution,,0
90,Development,Polkadot Protocol & SDK,,0
93,Business Development,NFTs,,0
94,Development,Polkadot Protocol & SDK,,0
95,Outreach,Ambassadors & Agents,,0
97,Development,Explorers,,0
98,Outreach,Content Creation & Distribution,,0
100,Development,Software Development,,0
103,Talent & Education,Trainings & Hackathon,,0
105,Development,Polkadot Protocol & SDK,,0
108,Development,Polkadot Protocol & SDK,,0
112,Operations,Governance,,0
113,Operations,Governance,,0
114,Operations,Governance,,0
115,Operations,Governance,,0
118,Development,SDKs,,0
119,Business Development,Protocol Subsidies,,0
120,Development,Multisig,,0
123,Operations,Governance,,0
124,Development,Smart Contracts,,0
125,Development,Wallets,,0
134,Outreach,Content Creation & Distribution,,0
136,Development,Polkadot Protocol & SDK,,0
137,Development,Smart Contracts,,0
140,Business Development,DeFi & Fintech Integrations,,0
141,Talent & Education,Recruiting,,0
145,Operations,Data Services & Indexing,,0
152,Outreach,Content Creation & Distribution,,0
153,Development,Smart Contracts,,0
155,Outreach,Ambassadors & Agents,,0
156,Operations,RPCs and Nodes,,0
158,Outreach,Content Creation & Distribution,,0
160,Outreach,Content Creation & Distribution,,0
161,Development,SDKs,,0
162,Development,Software Development,,0
164,Development,Polkadot Protocol & SDK,,0
165,Development,Explorers,,0
167,Development,SDKs,,0
168,Outreach,Content Creation & Distribution,,0
170,Outreach,Content Creation & Distribution,,0
171,Development,Polkadot Protocol & SDK,,0
172,Development,Governance,,0
175,Development,Data Services & Indexing,,0
176,Development,Polkadot Protocol & SDK,,0
177,Business Development,Games,,0
178,Outreach,Content Creation & Distribution,,0
179,Talent & Education,PBA,,0
181,Operations,Explorers,,0
183,Operations,Governance,,0
184,Outreach,Content Creation & Distribution,,0
185,Talent & Education,Trainings & Hackathon,,0
187,Talent & Education,Trainings & Hackathon,,0
190,Outreach,Ambassadors & Agents,,0
191,Operations,RPCs and Nodes,,0
193,Outreach,Content Creation & Distribution,,0
194,Business Development,Business Development,,0
196,Outreach,Content Creation & Distribution,,0
197,Development,Polkadot Protocol & SDK,,0
198,Outreach,Content Creation & Distribution,,0
200,Talent & Education,Incubation,,0
201,Development,Polkadot Protocol & SDK,,0
202,Research,Governance,,0
207,Development,Polkadot Protocol & SDK,,0
209,Research,Research,,0
210,Development,Polkadot Protocol & SDK,,0
214,Outreach,Advertising/Digital Ads,,0
215,Development,Polkadot Protocol & SDK,,0
216,Talent & Education,Trainings & Hackathon,,0
217,Outreach,Ambassadors & Agents,,0
218,Outreach,Content Creation & Distribution,,0
219,Outreach,Content Creation & Distribution,,0
221,Talent & Education,Education,,0
222,Outreach,Advertising,,0
223,Outreach,Events/Conference Attendance & Side Events,,0
225,Outreach,Content Creation & Distribution,,0
226,Outreach,Content Creation & Distribution,,0
227,Outreach,Events/Conference Attendance & Side Events,,0
230,Outreach,Ambassadors & Agents,,0
231,,,,1
232,Talent & Education,Trainings & Hackathon,,0
234,Outreach,Events/Conference Attendance & Side Events,,0
237,Development,Multisig,,0
240,Outreach,Content Creation & Distribution,,0
242,Outreach,Content Creation & Distribution,,0
243,Outreach,Content Creation & Distribution,,0
244,Talent & Education,Education,,0
245,Talent & Education,Trainings & Hackathon,,0
247,Outreach,Advertising/Influencers,,0
248,Operations,Data Services & Indexing,,0
249,Outreach,Advertising/Influencers,,0
255,Outreach,Content Creation & Distribution,,0
258,Outreach,Content Creation & Distribution,,0
259,Outreach,Content Creation & Distribution,,0
260,Outreach,Content Creation & Distribution,,0
261,Outreach,Content Creation & Distribution,,0
262,Outreach,Content Creation & Distribution,,0
263,Outreach,Content Creation & Distribution,,0
267,Outreach,Content Creation & Distribution,,0
269,Outreach,Content Creation & Distribution,,0
271,Outreach,Advertising/Influencers,,0
279,Development,Smart Contracts,,0
288,Operations,RPCs and Nodes,,0
290,Development,Polkadot Protocol & SDK,,0
298,Outreach,Advertising/Digital Ads,,0
302,Development,Wallets,,0
304,Outreach,Advertising/Influencers,,0
307,Outreach,Content Creation & Distribution,,0
310,Development,Wallets,,0
311,Operations,Explorers,,0
312,Business Development,Protocol Subsidies,,0
320,Development,Polkadot Protocol & SDK,,0
324,Outreach,Advertising/Digital Ads,,0
325,Outreach,Advertising/Influencers,,0
328,Outreach,Content Creation & Distribution,,0
331,Outreach,Content Creation & Distribution,,0
332,Development,Polkadot Protocol & SDK,,0
334,Research,Governance,,0
338,Outreach,Events/Conference Attendance & Side Events,,0
342,Outreach,Advertising/Influencers,,0
343,Business Development,DeFi & Fintech Integrations,,0
344,Outreach,Advertising/Influencers,,0
345,Outreach,Content Creation & Distribution,,0
346,Operations,RPCs and Nodes,,0
347,Talent & Education,PBA,,0
349,Talent & Education,Trainings & Hackathon,,0
350,Outreach,Events/Conference Hosting,,0
352,Talent & Education,PBA,,0
355,Operations,Staking,,0
356,Outreach,Advertising/Digital Ads,,0
357,Outreach,Advertising/Digital Ads,,0
358,Development,SDKs,,0
359,Talent & Education,Education,,0
360,Development,Smart Contracts,,0
361,Outreach,Events/Meetups,,0
362,Development,Software Development,,0
363,Operations,RPCs and Nodes,,0
364,Talent & Education,Education,,0
365,Outreach,Content Creation & Distribution,,0
366,Development,Data Services & Indexing,,0
368,Outreach,Events/Meetups,,0
369,Outreach,Content Creation & Distribution,,0
370,Business Development,DeFi & Fintech Integrations,,0
371,Talent & Education,Trainings & Hackathon,,0
372,Operations,Data Services & Indexing,,0
373,Development,Governance,,0
374,Outreach,Advertising/Influencers,,0
375,Talent & Education,PBA,,0
376,Outreach,Advertising/Influencers,,0
377,Business Development,NFTs,,0
378,Operations,Governance,,0
379,Business Development,NFTs,,0
382,Outreach,Advertising/Influencers,,0
385,Outreach,Advertising/Digital Ads,,0
387,Outreach,Events/Conference Hosting,,0
389,Outreach,Advertising/Influencers,,0
391,Outreach,Advertising/Digital Ads,,0
393,Development,Polkadot Protocol & SDK,,0
396,Development,Software Development,,0
397,Operations,SDKs,,0
406,Outreach,Events/Conference Attendance & Side Events,,0
408,Development,Smart Contracts,,0
409,Talent & Education,Trainings & Hackathon,,0
411,Outreach,Events/Conference Hosting,,0
412,Business Development,DeFi & Fintech Integrations,,0
415,Outreach,Content Creation & Distribution,,0
417,Outreach,Advertising/Digital Ads,,0
418,Outreach,Ambassadors & Agents,,0
420,Outreach,Content Creation & Distribution,,0
421,Talent & Education,Trainings & Hackathon,,0
422,Business Development,NFTs,,0
425,Outreach,Advertising/Influencers,,0
426,Development,Privacy,,0
429,Development,Polkadot Protocol & SDK,,0
432,Economy,Loans,,1
433,Development,Polkadot Protocol & SDK,,0
436,Development,Polkadot Protocol & SDK,,0
439,Development,SDKs,,0
441,Research,Governance,,0
442,Development,Polkadot Protocol & SDK,,0
446,Outreach,Advertising/Physical Ads,,0
447,Outreach,Advertising/Platform Integrations,,0
448,Development,Wallets,,0
450,Business Development,Governance,,0
451,Research,Polkadot Protocol & SDK,,0
457,Economy,Stablecoins,,1
459,Research,Governance,,0
460,Research,Governance,,0
461,Outreach,Content Creation & Distribution,,0
462,Development,Multisig,,0
463,Talent & Education,Trainings & Hackathon,,0
464,Operations,Infrastructure,,0
465,Development,Polkadot Protocol & SDK,,0
467,Development,Polkadot Protocol & SDK,,0
468,Development,Data Services & Indexing,,0
469,Business Development,Games,,0
470,Business Development,Games,,0
471,Business Development,Business Development,,0
472,Outreach,Content Creation & Distribution,,0
473,Outreach,Advertising/Influencers,,0
476,Outreach,Content Creation & Distribution,,0
477,Outreach,Events/Conference Hosting,,0
478,Outreach,Content Creation & Distribution,,0
480,Development,Polkadot Protocol & SDK,,0
482,Development,Software Development,,0
483,Operations,Governance,,0
484,Outreach,Ambassadors & Agents,,1
485,Outreach,Anti-Scam,,0
486,Outreach,Content Creation & Distribution,,0
488,,,,1
490,Talent & Education,Trainings & Hackathon,,0
491,Outreach,Events/Meetups,,0
492,Outreach,Events/Conference Attendance & Side Events,,0
493,Business Development,DeFi & Fintech Integrations,,0
494,Development,Protocol Subsidies,,0
496,Business Development,Software Development,,0
499,Outreach,Advertising/Digital Ads,,0
502,Business Development,Governance,,0
503,Talent & Education,Trainings & Hackathon,,0
504,Development,Governance,,0
506,Business Development,Business Development,,0
508,Business Development,DeFi & Fintech Integrations,,0
512,Outreach,Events/Conference Attendance & Side Events,,0
514,Outreach,Advertising/Sponsorships,,0
518,Development,Polkadot Protocol & SDK,,0
519,Operations,Staking,,0
520,Outreach,Events/Conference Attendance & Side Events,,0
526,Business Development,Business Development,,0
527,Operations,Staking,,0
529,,,,1
532,Outreach,Content Creation & Distribution,,0
533,Outreach,Events/Meetups,,0
538,Development,Polkadot Protocol & SDK,,0
539,Talent & Education,Trainings & Hackathon,,0
540,Research,Infrastructure,,0
541,Development,Software Development,,0
542,Development,Governance,,0
544,Development,Wallets,,0
552,Development,Data Services & Indexing,,0
554,Outreach,Events/Conference Attendance & Side Events,,0
555,Outreach,Events/Conference Attendance & Side Events,,0
557,Business Development,Business Development,,0
558,Business Development,Games,,0
559,Development,Software Development,,0
560,Economy,Market Operations,,1
561,Economy,DeFi Incentives,,0
567,Outreach,Games,,0
568,Talent & Education,Trainings & Hackathon,,0
569,Outreach,Content Creation & Distribution,,0
571,Development,Polkadot Protocol & SDK,,0
573,Outreach,Content Creation & Distribution,,0
574,Operations,Anti-Scam,,1
576,Research,Research,,0
